metric,time,value,failure,expected_response,group,method,name,proto,scenario,status,url,check,error_code
vus,2026-04-15T13:55:05.769267305Z,2.0,0,,,,,,,,,,
vus_max,2026-04-15T13:55:05.769267305Z,100.0,0,,,,,,,,,,
vus,2026-04-15T13:55:06.768487105Z,4.0,0,,,,,,,,,,
vus_max,2026-04-15T13:55:06.768487105Z,100.0,0,,,,,,,,,,
vus,2026-04-15T13:55:07.768653039Z,5.0,0,,,,,,,,,,
vus_max,2026-04-15T13:55:07.768653039Z,100.0,0,,,,,,,,,,
http_reqs,2026-04-15T13:55:07.821683365Z,1.0,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_duration,2026-04-15T13:55:07.821683365Z,3018.080749,1,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_blocked,2026-04-15T13:55:07.821683365Z,8.976694,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_connecting,2026-04-15T13:55:07.821683365Z,2.971283,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_tls_handshaking,2026-04-15T13:55:07.821683365Z,0.0,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_sending,2026-04-15T13:55:07.821683365Z,0.186625,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_waiting,2026-04-15T13:55:07.821683365Z,3017.73526,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_receiving,2026-04-15T13:55:07.821683365Z,0.158864,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_failed,2026-04-15T13:55:07.821683365Z,0.0,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
checks,2026-04-15T13:55:07.821854728Z,1.0,0,,,,,,default,,,status is 200,
http_reqs,2026-04-15T13:55:08.425924019Z,1.0,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_duration,2026-04-15T13:55:08.425924019Z,3016.032317,1,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_blocked,2026-04-15T13:55:08.425924019Z,3.389051,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_connecting,2026-04-15T13:55:08.425924019Z,3.24687,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_tls_handshaking,2026-04-15T13:55:08.425924019Z,0.0,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_sending,2026-04-15T13:55:08.425924019Z,0.157758,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_waiting,2026-04-15T13:55:08.425924019Z,3015.657678,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_receiving,2026-04-15T13:55:08.425924019Z,0.216881,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
http_req_failed,2026-04-15T13:55:08.425924019Z,0.0,0,true,,GET,http://host.docker.internal:3000/health,HTTP/1.1,default,200,http://host.docker.internal:3000/health,,
checks,2026-04-15T13:55:08.426048713Z,1.0,0,,,,,,default,,,status is 200,
vus,2026-04-15T13:55:08.768507948Z,7.0,0,,,,,,,,,,
